subid,tr.num,condition,target_image,dot,gender,age,notes,order,experiment,keep_runsheet,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy,shift_accuracy_clean,shift_start_location,keep_et,resp_onset_type_fact
10_20_02,47,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,center.fixation,1,T_D,incorrect,incorrect,not_center,include,center.fixation
10_20_02,47,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,NA,no_shift,NA,incorrect,not_center,include,noun
10_20_02,47,text,juice,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,sentence,0.8300000000000001,T_D,incorrect,incorrect,not_center,include,sentence
10_20_02,48,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.9670000000000001,D_T,incorrect,correct,not_center,include,center.fixation
10_20_02,48,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,target,noun,0.827,T_C,incorrect,incorrect,not_center,include,noun
10_20_02,48,text,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.637,D_T,incorrect,correct,not_center,include,sentence
10_20_02,49,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.633,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,49,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.3969999999999998,D_T,incorrect,correct,not_center,include,noun
10_20_02,49,bullseye,shoe,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,sentence,0.10299999999999998,D_C,incorrect,incorrect,not_center,include,sentence
10_20_02,50,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,center.fixation,0.33299999999999996,D_C,incorrect,incorrect,not_center,include,center.fixation
10_20_02,50,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,distracter,noun,0.5270000000000001,D_T,incorrect,correct,not_center,include,noun
10_20_02,50,bullseye,ball,10/20/16,f,18-21,"had a little trouble with calibration (took 3 attempts), but it was great after removing glasses",1,text,include,NA,center,sentence,0.8029999999999999,C_D,incorrect,incorrect,center,include,sentence
