condition,stimulus,left_image,right_image,target_image,center,audio,noun_onset_sec,noun_onset_frames,noun_onset_msec,noun_onset_sec_1,noun_offset_sec,noun_offset_frames,noun_offset_msec,noun_offset_sec_1,sentence_onset_sec_frames,sentence_onset_frames,sentence_onset_sec
Text,fbbb46cbb78805b3caf5b955829341f2_1024x768,cookie,ball,cookie,text,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text,3fd5cd088119c225ed7c46b2accc0401_1024x768,book,shoe,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,5229cf6378d0deac79c94f02b1b382e8_1024x768,banana,juice,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,5814e48a44f215b044499efcd6befd37_1024x768,book,shoe,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text,ee80e042edec3d0fa770c5182d825e6a_1024x768,shoe,book,book,text,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text,27213d36d4cd6dfda9a7203523a23e53_1024x768,cookie,ball,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,05cfebc6ba8d98c26d5ba62e03d017e9_1024x768,cookie,ball,ball,text,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text,e26ee036126d460106a62195a0d9b712_1024x768,juice,banana,banana,text,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text,f444438c55b957172398e3ba8efb53a4_1024x768,shoe,book,shoe,text,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,ffd3c4f398a08fa30bf960db72206ec7_1024x768,shoe,book,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,422228e4ca25c778b58c9cb18ce5b5c0_1024x768,banana,juice,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,e97fb2fa7580b952b0661ba6dfc13fc8_1024x768,cookie,ball,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,7ba2675b53059f6dda43c2a3056a33da_1024x768,banana,juice,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,39e6376957b960062ce586b17e5f3808_1024x768,cookie,ball,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,3a8a3e285bd9f6183c3662076e7e8c07_1024x768,cookie,ball,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,313e4a51503454cdecbc01a30001fa1a_1024x768,ball,cookie,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,ac4e04d50022400ab72bb8f7eccee915_1024x768,juice,banana,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,0af0b8df0b99ceb24e540a779a94b8c8_1024x768,banana,juice,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,ca308383bb32e44886a9bf06bc3ff0b9_1024x768,shoe,book,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,6e59900b495d723ef1bb78bfa2d87b2c_1024x768,shoe,book,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,7f611375824fee7c7b288ac0f23f6a71_1024x768,banana,juice,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,471bb43963d7e437e8811155d4947676_1024x768,juice,banana,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,72a98ebf22c2bea6096fa6a9f14fdb8c_1024x768,shoe,book,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,d9245d6e1b9c2b80ecc7059f33196b95_1024x768,book,shoe,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Bullseye,3bba1366419287d440bac25ad128945f_1024x768,book,shoe,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,f42551770bcbc865bdd0dc50b373899a_1024x768,ball,cookie,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,82a72660d0e0151330ff59824c01b34d_1024x768,ball,cookie,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,8c8d867db64c818fb6ed5b4be646cabd_1024x768,juice,banana,juice,bullseye,audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Bullseye,3d975d9e490114faf2a9c40f4eb1932f_1024x768,ball,cookie,cookie,bullseye,audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Bullseye,4714ac7f8fb06de7172d4fb2082d4135_1024x768,book,shoe,shoe,bullseye,audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Bullseye,83d8aed0d7eeddebf9225e8f55532167_1024x768,juice,banana,banana,bullseye,audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Bullseye,6f30e45c4ce4165141b7a8223e0e826b_1024x768,cookie,ball,ball,bullseye,audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Bullseye,20d0e9d08cf2382fd903aead76d932fc_1024x768,book,shoe,book,bullseye,audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,49cf5779f6f9daa8d03073442d98dec4_1024x768,ball,cookie,cookie,text,no-audio,3,6,3180,3.18,4,4,4120,4.12,1,8,1.27
Text-no-audio,6660cc65cf4a011dbcbb169fd50d4f26_1024x768,book,shoe,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,a60a6f6c2595d91256542ca443b1244a_1024x768,juice,banana,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,7e5fdd43fe14cdece1ddde6d60d16e5e_1024x768,shoe,book,shoe,text,no-audio,3,9,3270,3.27,3,29,3870,3.87,1,16,1.53
Text-no-audio,5e18be9b419dab0d5c87dd8b749dcff9_1024x768,book,shoe,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,45f00430d66b2f9e0369077cc9d1e0e1_1024x768,banana,juice,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,e00d1263f26bb71f4540d258cfc49493_1024x768,shoe,book,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,2d9733fe89d045d90b7e3d3a028d74c6_1024x768,cookie,ball,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,4b51e4c3c7fc4a6f10fd1fa26a40766e_1024x768,ball,cookie,ball,text,no-audio,3,18,3540,3.54,4,8,4240,4.24,1,10,1.33
Text-no-audio,908f2705b9c41a6abc797b398e898b45_1024x768,banana,juice,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,822171713019563a10f19796b36b2ce5_1024x768,juice,banana,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,83f1126403fd77f4ec32572093e5924a_1024x768,banana,juice,juice,text,no-audio,3,9,3270,3.27,4,6,4180,4.18,1,5,1.17
Text-no-audio,0fef7aab31a6fd6bcf0409925eb06d6b_1024x768,shoe,book,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
Text-no-audio,5dae4aa023ab8cbb8052b18999deb8b1_1024x768,juice,banana,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,3908c3ee7bc38e177e7242c09da4e5db_1024x768,banana,juice,banana,text,no-audio,3,17,3510,3.51,4,10,4300,4.3,1,15,1.5
Text-no-audio,e3f47615941eee73f0f89b8fc19cc30b_1024x768,book,shoe,book,text,no-audio,3,3,3090,3.09,3,29,3870,3.87,1,4,1.13
