left_image,right_image,target_image,stimulus,center,stimulus_name,finished?,noun,noun_type,frequency,speaker,gaze,noise_condition,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames,gaze_condition,condition_long
juice,boat,boat,1853b9b1d0c5c9ea3cb5b5be610ba4d7_1920x1080,face,gr_sa_boat_nonoise_hey,yes,boat,familiar,high,gr,straight_ahead,no_noise,hey,2,26,4,8,5,16,6,1,6,1,NA,NA,NA,NA,0,8,1,no_gaze,no_noise_no_gaze
cookie,bottle,cookie,19e235fa971c0cc20d55f1845e5db635_1920x1080,face,ol_sa_cookie_nonoise_hey,yes,cookie,familiar,high,ol,straight_ahead,no_noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,no_noise_no_gaze
bottle,cookie,cookie,1b5f1cb37ad2a28e2ea11104d6c5dcaa_1920x1080,face,ol_sa_cookie_noise_hey,yes,cookie,familiar,high,ol,straight_ahead,noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,noise_no_gaze
ball,shoe,ball,1b9e3d47ba81e672ad9480f2c56f5e04_1920x1080,face,gr_sa_ball_noise_hey,yes,ball,familiar,high,gr,straight_ahead,noise,hey,3,8,4,20,5,24,6,8,6,8,NA,NA,NA,NA,0,8,8,no_gaze,noise_no_gaze
juice,boat,boat,1c2f090adea3b247a8d089d866b6449f_1920x1080,face,ol_sa_boat_nonoise_hey,yes,boat,familiar,high,ol,straight_ahead,no_noise,hey,3,4,4,17,5,20,6,5,6,5,NA,NA,NA,NA,0,8,5,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,1d8c003eb40524610321bb104bba1495_1920x1080,face,gr_sa_bottle_noise_hey,yes,bottle,familiar,high,gr,straight_ahead,noise,hey,3,5,4,8,5,12,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,noise_no_gaze
bunny,chicken,bunny,22622f571733dd5ecbfebc6969c2a9cc_1920x1080,face,ol_sa_bunny_nonoise_look,yes,bunny,familiar,high,ol,straight_ahead,no_noise,look,3,10,4,22,5,12,5,26,5,26,NA,NA,NA,NA,0,7,26,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,24a08ebe762c0bc7f4781bae64bc7055_1920x1080,face,gr_sa_bunny_nonoise_hey,yes,bunny,familiar,high,gr,straight_ahead,no_noise,hey,3,16,5,0,6,5,6,15,6,15,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
cookie,bottle,cookie,256281175039d1ecfb6f5689aea1468f_1920x1080,face,ol_sa_cookie_noise_hey,yes,cookie,familiar,high,ol,straight_ahead,noise,hey,3,16,4,28,5,29,6,13,6,13,NA,NA,NA,NA,0,8,14,no_gaze,noise_no_gaze
juice,boat,juice,2602642e7fe0ea4f5e1f52c4078b439b_1920x1080,face,gr_sa_juice_nonoise_hey,yes,juice,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,23,5,26,6,18,6,18,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
boat,juice,juice,2890e15fc4aa4823e738f64a2c2478dd_1920x1080,face,gr_sa_juice_noise_look,yes,juice,familiar,high,gr,straight_ahead,noise,look,3,0,4,12,5,7,5,29,5,29,NA,NA,NA,NA,0,7,29,no_gaze,noise_no_gaze
boat,juice,boat,294a5de647a0cb9e859543944cf79f4e_1920x1080,face,gr_sa_boat_noise_hey,yes,boat,familiar,high,gr,straight_ahead,noise,hey,2,26,4,8,5,16,6,1,6,1,NA,NA,NA,NA,0,8,1,no_gaze,noise_no_gaze
chicken,bunny,bunny,29bb749540761d4b4a59db43057564ba_1920x1080,face,ol_sa_bunny_noise_hey,yes,bunny,familiar,high,ol,straight_ahead,noise,hey,3,18,5,2,6,6,6,19,6,19,NA,NA,NA,NA,0,8,19,no_gaze,noise_no_gaze
chicken,bunny,chicken,2a5dec4e2fed3f0f44f014b474d04191_1920x1080,face,gr_sa_chicken_nonoise_look,yes,chicken,familiar,high,gr,straight_ahead,no_noise,look,3,12,4,25,5,16,6,0,6,0,NA,NA,NA,NA,0,8,0,no_gaze,no_noise_no_gaze
shoe,ball,shoe,2b03a1e3cd7e8f8020a9e66eb1a7ec21_1920x1080,face,gr_sa_shoe_nonoise_hey,yes,shoe,familiar,high,gr,straight_ahead,no_noise,hey,3,4,5,0,6,2,6,23,6,23,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
ball,shoe,ball,2b8efd02bf50d4bff973025405ac8ccc_1920x1080,face,gr_sa_ball_nonoise_hey,yes,ball,familiar,high,gr,straight_ahead,no_noise,hey,3,8,4,20,5,24,6,8,6,8,NA,NA,NA,NA,0,8,8,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,2de22ea94b88382e1ef3a7460144abab_1920x1080,face,ol_sa_bottle_nonoise_look,yes,bottle,familiar,high,ol,straight_ahead,no_noise,look,3,1,4,11,5,1,5,16,5,16,NA,NA,NA,NA,0,7,16,no_gaze,no_noise_no_gaze
boat,juice,juice,309750d802a1bfadfdfdbd992db4e532_1920x1080,face,gr_sa_juice_noise_look,yes,juice,familiar,high,gr,straight_ahead,noise,look,3,0,4,12,5,7,5,29,5,29,NA,NA,NA,NA,0,7,29,no_gaze,noise_no_gaze
bunny,chicken,bunny,313f6f00cb0a5b810714a6b160f32cc9_1920x1080,face,gr_sa_bunny_noise_hey,yes,bunny,familiar,high,gr,straight_ahead,noise,hey,3,16,5,0,6,5,6,15,6,15,NA,NA,NA,NA,0,8,17,no_gaze,noise_no_gaze
bunny,chicken,bunny,3257ffb5735c4ee996d41b31e9c7277e_1920x1080,face,gr_sa_bunny_nonoise_look,yes,bunny,familiar,high,gr,straight_ahead,no_noise,look,3,4,4,16,5,10,5,22,5,22,NA,NA,NA,NA,0,7,22,no_gaze,no_noise_no_gaze
