	a(ASL)	v(ASL)	experiment	age_code
108	1.6866042905946508	0.6667945489723419	trio	adults
109	1.758039195049437	0.553679250477363	trio	adults
110	1.747230586550244	0.5926855337035519	trio	adults
111	1.7308482995191803	0.7225787442229924	trio	adults
112	1.7090791994617172	0.6293090505543605	trio	adults
113	1.6880777909443851	0.6659399784201516	trio	adults
114	1.7959606408227669	0.6760465829662949	trio	adults
115	1.7952765893546658	0.6536301585697788	trio	adults
116	1.773627369009378	0.6448300115736886	trio	adults
117	1.7711315668946437	0.5078162760224351	trio	adults
118	1.7821725957931982	0.8538659943105943	trio	adults
119	1.7444403059220832	0.6355722290738287	trio	adults
120	1.709359198197622	0.6751438111275054	trio	adults
121	1.902044649579819	0.7353924672562198	trio	adults
122	1.7793894739026859	0.6401711924493483	trio	adults
