subid,tr.num,condition_long,correct,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
13,20,gaze_clear,1,0.6059999999999999,gaze_clear,0.61,response,1,0.14,cs,0.74
6,10,gaze_clear,1,0.6070000000000002,gaze_clear,0.61,response,1,0.14,cs,0.74
12,45,gaze_clear,1,0.6079999999999997,gaze_clear,0.61,response,1,0.14,cs,0.74
8,3,gaze_clear,1,0.609,gaze_clear,0.61,response,1,0.15000000000000002,cs,0.75
11,23,gaze_clear,1,0.6339999999999995,gaze_clear,0.63,response,1,0.15000000000000002,cs,0.75
7,12,gaze_clear,1,0.6360000000000001,gaze_clear,0.64,response,1,0.15000000000000002,cs,0.75
2,36,gaze_clear,1,0.6370000000000005,gaze_clear,0.64,response,1,0.15000000000000002,cs,0.75
11,32,gaze_clear,1,0.6379999999999999,gaze_clear,0.64,response,1,0.16000000000000003,cs,0.76
5,16,gaze_clear,1,0.6400000000000006,gaze_clear,0.64,response,1,0.16000000000000003,cs,0.76
7,9,gaze_clear,1,0.6400000000000006,gaze_clear,0.64,response,1,0.16000000000000003,cs,0.76
4,2,gaze_clear,1,0.6419999999999995,gaze_clear,0.64,response,1,0.16000000000000003,cs,0.76
9,63,gaze_clear,1,0.6420000000000003,gaze_clear,0.64,response,1,0.17000000000000004,cs,0.77
9,53,gaze_clear,1,0.6429999999999998,gaze_clear,0.64,response,1,0.17000000000000004,cs,0.77
4,12,gaze_clear,1,0.6680000000000001,gaze_clear,0.67,response,1,0.17000000000000004,cs,0.77
11,21,gaze_clear,1,0.6689999999999996,gaze_clear,0.67,response,1,0.17000000000000004,cs,0.77
8,9,gaze_clear,1,0.6689999999999996,gaze_clear,0.67,response,1,0.18000000000000005,cs,0.78
9,50,gaze_clear,1,0.6689999999999996,gaze_clear,0.67,response,1,0.18000000000000005,cs,0.78
10,56,gaze_clear,1,0.6690000000000005,gaze_clear,0.67,response,1,0.18000000000000005,cs,0.78
12,35,gaze_clear,1,0.6709999999999994,gaze_clear,0.67,response,1,0.18000000000000005,cs,0.78
2,40,gaze_clear,1,0.6709999999999994,gaze_clear,0.67,response,1,0.18000000000000005,cs,0.78
10,61,gaze_clear,1,0.673,gaze_clear,0.67,response,1,0.19000000000000006,cs,0.79
4,4,gaze_clear,1,0.673,gaze_clear,0.67,response,1,0.19000000000000006,cs,0.79
13,18,gaze_clear,1,0.6750000000000007,gaze_clear,0.68,response,1,0.19000000000000006,cs,0.79
8,8,gaze_clear,1,0.6750000000000007,gaze_clear,0.68,response,1,0.19000000000000006,cs,0.79
13,21,gaze_clear,1,0.7009999999999996,gaze_clear,0.7,response,1,0.20000000000000007,cs,0.8
6,14,gaze_clear,0,0.7009999999999996,gaze_clear,0.7,response,1,0.19000000000000006,cs,0.79
8,10,gaze_clear,1,0.7009999999999996,gaze_clear,0.7,response,1,0.19000000000000006,cs,0.79
9,55,gaze_clear,1,0.702,gaze_clear,0.7,response,1,0.19000000000000006,cs,0.79
4,14,gaze_clear,1,0.7029999999999994,gaze_clear,0.7,response,1,0.19000000000000006,cs,0.79
9,51,gaze_clear,1,0.7030000000000003,gaze_clear,0.7,response,1,0.20000000000000007,cs,0.8
2,38,gaze_clear,1,0.7079999999999993,gaze_clear,0.71,response,1,0.20000000000000007,cs,0.8
11,24,gaze_clear,1,0.7090000000000005,gaze_clear,0.71,response,1,0.20000000000000007,cs,0.8
5,1,gaze_clear,1,0.7090000000000005,gaze_clear,0.71,response,1,0.20000000000000007,cs,0.8
11,17,gaze_clear,1,0.7359999999999998,gaze_clear,0.74,response,1,0.20000000000000007,cs,0.8
2,39,gaze_clear,1,0.7359999999999998,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
4,13,gaze_clear,1,0.7359999999999998,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
5,4,gaze_clear,1,0.7359999999999998,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
11,30,gaze_clear,1,0.7369999999999992,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
13,27,gaze_clear,1,0.7379999999999995,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
9,56,gaze_clear,0,0.7389999999999999,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
9,58,gaze_clear,1,0.7400000000000002,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
6,9,gaze_clear,1,0.742,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
7,10,gaze_clear,1,0.742,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
7,11,gaze_clear,1,0.742,gaze_clear,0.74,response,1,0.21000000000000008,cs,0.81
5,12,gaze_clear,1,0.7679999999999998,gaze_clear,0.77,response,1,0.21000000000000008,cs,0.81
6,13,gaze_clear,1,0.7690000000000001,gaze_clear,0.77,response,1,0.21999999999999997,cs,0.82
2,41,gaze_clear,1,0.7699999999999996,gaze_clear,0.77,response,1,0.21999999999999997,cs,0.82
2,46,gaze_clear,1,0.7699999999999996,gaze_clear,0.77,response,1,0.21999999999999997,cs,0.82
7,6,gaze_clear,1,0.7699999999999996,gaze_clear,0.77,response,1,0.21999999999999997,cs,0.82
11,22,gaze_clear,1,0.7720000000000002,gaze_clear,0.77,response,1,0.21999999999999997,cs,0.82
7,16,gaze_clear,1,0.7730000000000006,gaze_clear,0.77,response,1,0.22999999999999998,cs,0.83
2,43,gaze_clear,1,0.774,gaze_clear,0.77,response,1,0.22999999999999998,cs,0.83
12,36,gaze_clear,1,0.7749999999999995,gaze_clear,0.77,response,1,0.22999999999999998,cs,0.83
