subid,tr.num,condition,correct,RT,rt,guess,guess_num,ucl_bound,ewma_param,param_value
11_02_08,44,bullseye,1,0.363,0.36,guess,0,0.09999999999999998,cs,0.5
11_16_01,62,bullseye,0,0.363,0.36,guess,0,0.09999999999999998,cs,0.5
11_16_01,52,bullseye,1,0.3770000000000002,0.38,guess,0,0.09999999999999998,cs,0.5
11_02_08,35,bullseye,0,0.3900000000000001,0.39,guess,0,0.09999999999999998,cs,0.5
11_10_03,48,bullseye,1,0.3900000000000001,0.39,guess,0,0.09999999999999998,cs,0.5
11_10_05,38,bullseye,1,0.3900000000000001,0.39,guess,0,0.08999999999999997,cs,0.51
11_16_01,46,bullseye,1,0.3900000000000001,0.39,guess,0,0.08999999999999997,cs,0.51
11_16_03,68,bullseye,1,0.3900000000000001,0.39,guess,0,0.07999999999999996,cs,0.52
10_20_05,55,bullseye,1,0.3929999999999998,0.39,guess,0,0.07999999999999996,cs,0.52
11_02_08,45,bullseye,1,0.3929999999999998,0.39,guess,0,0.06999999999999995,cs,0.53
10_20_02,49,bullseye,0,0.3969999999999998,0.4,guess,0,0.07999999999999996,cs,0.52
10_20_06,64,bullseye,1,0.3969999999999998,0.4,guess,0,0.06999999999999995,cs,0.53
10_20_06,67,bullseye,1,0.3969999999999998,0.4,guess,0,0.06999999999999995,cs,0.53
11_02_05,50,bullseye,0,0.3969999999999998,0.4,guess,0,0.06999999999999995,cs,0.53
11_02_08,26,bullseye,1,0.3969999999999998,0.4,guess,0,0.06999999999999995,cs,0.53
10_20_04,53,bullseye,0,0.41000000000000014,0.41,guess,0,0.06999999999999995,cs,0.53
10_20_06,61,bullseye,1,0.41000000000000014,0.41,guess,0,0.06999999999999995,cs,0.53
11_02_02,30,bullseye,1,0.41000000000000014,0.41,guess,0,0.06999999999999995,cs,0.53
11_10_05,25,bullseye,1,0.41000000000000014,0.41,guess,0,0.05999999999999994,cs,0.54
10_20_01,51,bullseye,0,0.41999999999999993,0.42,guess,0,0.06999999999999995,cs,0.53
10_20_04,71,bullseye,1,0.41999999999999993,0.42,guess,0,0.05999999999999994,cs,0.54
11_16_01,64,bullseye,0,0.41999999999999993,0.42,guess,0,0.06999999999999995,cs,0.53
11_16_03,61,bullseye,1,0.41999999999999993,0.42,guess,0,0.05999999999999994,cs,0.54
11_16_04,56,bullseye,1,0.41999999999999993,0.42,guess,0,0.05999999999999994,cs,0.54
10_20_04,72,bullseye,1,0.42300000000000004,0.42,guess,0,0.04999999999999993,cs,0.55
11_02_02,25,bullseye,1,0.42300000000000004,0.42,guess,0,0.04999999999999993,cs,0.55
11_02_08,28,bullseye,1,0.42300000000000004,0.42,guess,0,0.039999999999999925,cs,0.56
11_02_08,37,bullseye,1,0.42300000000000004,0.42,guess,0,0.039999999999999925,cs,0.56
11_16_04,52,bullseye,0,0.42300000000000004,0.42,guess,0,0.04999999999999993,cs,0.55
10_20_02,52,bullseye,0,0.42700000000000005,0.43,guess,0,0.04999999999999993,cs,0.55
10_20_04,59,bullseye,0,0.42700000000000005,0.43,guess,0,0.05999999999999994,cs,0.54
11_16_04,50,bullseye,0,0.42700000000000005,0.43,guess,0,0.05999999999999994,cs,0.54
10_20_04,62,bullseye,1,0.43000000000000016,0.43,guess,0,0.05999999999999994,cs,0.54
10_20_05,60,bullseye,1,0.43000000000000016,0.43,guess,0,0.04999999999999993,cs,0.55
11_02_02,40,bullseye,0,0.43000000000000016,0.43,guess,0,0.05999999999999994,cs,0.54
11_02_05,49,bullseye,1,0.43000000000000016,0.43,guess,0,0.04999999999999993,cs,0.55
11_02_07,34,bullseye,0,0.43000000000000016,0.43,guess,0,0.05999999999999994,cs,0.54
11_02_08,41,bullseye,1,0.43000000000000016,0.43,guess,0,0.04999999999999993,cs,0.55
11_10_05,27,bullseye,0,0.43000000000000016,0.43,guess,0,0.05999999999999994,cs,0.54
11_10_05,43,bullseye,1,0.43000000000000016,0.43,guess,0,0.05999999999999994,cs,0.54
11_16_01,61,bullseye,1,0.43000000000000016,0.43,guess,0,0.04999999999999993,cs,0.55
11_16_05,36,bullseye,1,0.43000000000000016,0.43,guess,0,0.04999999999999993,cs,0.55
10_20_06,66,bullseye,1,0.44300000000000006,0.44,guess,0,0.039999999999999925,cs,0.56
10_20_06,72,bullseye,1,0.44300000000000006,0.44,guess,0,0.039999999999999925,cs,0.56
10_20_04,65,bullseye,1,0.45299999999999985,0.45,guess,0,0.030000000000000027,cs,0.57
11_02_02,43,bullseye,1,0.45299999999999985,0.45,guess,0,0.030000000000000027,cs,0.57
11_02_05,56,bullseye,1,0.45299999999999985,0.45,guess,0,0.020000000000000018,cs,0.58
11_02_08,48,bullseye,1,0.45299999999999985,0.45,guess,0,0.020000000000000018,cs,0.58
11_16_03,59,bullseye,1,0.45299999999999985,0.45,guess,0,0.020000000000000018,cs,0.58
11_16_03,71,bullseye,1,0.45299999999999985,0.45,guess,0,0.010000000000000009,cs,0.59
10_20_05,49,bullseye,0,0.4570000000000003,0.46,guess,0,0.020000000000000018,cs,0.58
11_02_02,35,bullseye,1,0.4570000000000003,0.46,guess,0,0.010000000000000009,cs,0.59
11_10_05,42,bullseye,1,0.4570000000000003,0.46,guess,0,0.010000000000000009,cs,0.59
11_10_04,44,bullseye,0,0.45999999999999996,0.46,guess,0,0.020000000000000018,cs,0.58
11_16_05,42,bullseye,1,0.45999999999999996,0.46,guess,0,0.010000000000000009,cs,0.59
11_02_01,25,bullseye,0,0.4630000000000001,0.46,guess,0,0.020000000000000018,cs,0.58
11_02_01,45,bullseye,1,0.4630000000000001,0.46,guess,0,0.010000000000000009,cs,0.59
11_02_02,34,bullseye,0,0.4630000000000001,0.46,guess,0,0.020000000000000018,cs,0.58
11_02_02,38,bullseye,0,0.4630000000000001,0.46,guess,0,0.020000000000000018,cs,0.58
11_02_07,45,bullseye,1,0.4630000000000001,0.46,guess,0,0.020000000000000018,cs,0.58
11_16_03,63,bullseye,1,0.4630000000000001,0.46,guess,0,0.020000000000000018,cs,0.58
11_16_03,65,bullseye,1,0.4630000000000001,0.46,guess,0,0.010000000000000009,cs,0.59
11_16_03,67,bullseye,1,0.4630000000000001,0.46,guess,0,0.010000000000000009,cs,0.59
11_16_04,64,bullseye,1,0.4630000000000001,0.46,response,1,0,cs,0.6
11_16_04,71,bullseye,1,0.4630000000000001,0.46,response,1,0,cs,0.6
11_16_04,72,bullseye,1,0.4630000000000001,0.46,response,1,0,cs,0.6
10_20_02,54,bullseye,0,0.4770000000000003,0.48,response,1,0,cs,0.6
10_20_02,63,bullseye,0,0.4770000000000003,0.48,guess,0,0.010000000000000009,cs,0.59
10_20_04,57,bullseye,0,0.4770000000000003,0.48,guess,0,0.010000000000000009,cs,0.59
10_20_01,68,bullseye,0,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.58
10_20_04,68,bullseye,0,0.48699999999999966,0.49,guess,0,0.030000000000000027,cs,0.57
10_20_05,72,bullseye,1,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.58
11_02_03,32,bullseye,1,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.58
11_02_04,70,bullseye,0,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.58
11_10_03,34,bullseye,1,0.48699999999999966,0.49,guess,0,0.030000000000000027,cs,0.58
11_10_05,37,bullseye,1,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.59
11_10_05,45,bullseye,1,0.48699999999999966,0.49,guess,0,0.020000000000000018,cs,0.59
10_20_06,60,bullseye,1,0.4900000000000002,0.49,guess,0,0.020000000000000018,cs,0.59
11_10_01,29,bullseye,1,0.4900000000000002,0.49,guess,0,0.010000000000000009,cs,0.6
11_16_05,39,bullseye,1,0.4900000000000002,0.49,guess,0,0.010000000000000009,cs,0.6
10_20_05,53,bullseye,1,0.4930000000000003,0.49,response,1,0,cs,0.61
11_10_01,38,bullseye,1,0.4930000000000003,0.49,response,1,0,cs,0.61
11_16_01,47,bullseye,0,0.4930000000000003,0.49,guess,0,0.010000000000000009,cs,0.6
11_16_05,43,bullseye,1,0.4930000000000003,0.49,response,1,0,cs,0.61
10_20_06,70,bullseye,1,0.4969999999999999,0.5,response,1,0,cs,0.61
11_02_05,52,bullseye,1,0.4969999999999999,0.5,response,1,0.010000000000000009,cs,0.62
11_02_07,44,bullseye,1,0.4969999999999999,0.5,response,1,0.010000000000000009,cs,0.62
11_02_08,27,bullseye,1,0.4969999999999999,0.5,response,1,0.010000000000000009,cs,0.62
11_02_08,30,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_02_08,36,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_10_04,26,bullseye,0,0.4969999999999999,0.5,response,1,0.010000000000000009,cs,0.62
11_10_05,46,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_16_03,53,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_16_04,58,bullseye,0,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_16_05,30,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
11_16_05,38,bullseye,1,0.4969999999999999,0.5,response,1,0.020000000000000018,cs,0.63
10_20_02,51,bullseye,0,0.5100000000000002,0.51,response,1,0.020000000000000018,cs,0.63
11_02_07,48,bullseye,1,0.5100000000000002,0.51,response,1,0.020000000000000018,cs,0.63
11_16_03,69,bullseye,0,0.5100000000000002,0.51,response,1,0.010000000000000009,cs,0.62
11_02_05,69,bullseye,1,0.52,0.52,response,1,0.020000000000000018,cs,0.63
11_02_08,29,bullseye,1,0.52,0.52,response,1,0.020000000000000018,cs,0.63
11_10_05,28,bullseye,1,0.52,0.52,response,1,0.030000000000000027,cs,0.64
11_10_05,35,bullseye,1,0.52,0.52,response,1,0.030000000000000027,cs,0.64
10_20_02,55,bullseye,0,0.5230000000000006,0.52,response,1,0.020000000000000018,cs,0.63
11_02_07,42,bullseye,1,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
11_10_01,43,bullseye,1,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
11_10_03,32,bullseye,1,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
11_10_04,46,bullseye,0,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
11_10_05,31,bullseye,1,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
11_10_05,36,bullseye,1,0.5230000000000006,0.52,response,1,0.030000000000000027,cs,0.64
10_20_02,50,bullseye,0,0.5270000000000001,0.53,response,1,0.030000000000000027,cs,0.64
10_20_06,53,bullseye,1,0.5270000000000001,0.53,response,1,0.030000000000000027,cs,0.64
11_02_07,25,bullseye,1,0.5270000000000001,0.53,response,1,0.040000000000000036,cs,0.65
11_02_07,33,bullseye,1,0.5270000000000001,0.53,response,1,0.040000000000000036,cs,0.65
11_02_08,39,bullseye,1,0.5270000000000001,0.53,response,1,0.040000000000000036,cs,0.65
11_02_08,43,bullseye,1,0.5270000000000001,0.53,response,1,0.050000000000000044,cs,0.66
11_10_03,26,bullseye,1,0.5270000000000001,0.53,response,1,0.050000000000000044,cs,0.66
11_10_05,48,bullseye,1,0.5270000000000001,0.53,response,1,0.050000000000000044,cs,0.66
10_20_02,65,bullseye,0,0.5299999999999998,0.53,response,1,0.050000000000000044,cs,0.66
10_20_05,70,bullseye,1,0.5299999999999998,0.53,response,1,0.050000000000000044,cs,0.66
11_02_04,60,bullseye,0,0.5299999999999998,0.53,response,1,0.040000000000000036,cs,0.65
11_02_05,60,bullseye,1,0.5299999999999998,0.53,response,1,0.050000000000000044,cs,0.66
