subid,tr.num,noise_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
13,10,clear,1,1282,3,boat,0.2400000000000002,clear,0.24,guess,0,0.11000000000000004,cs,0.45
49,22,clear,0,1626,4,boat,0.2400000000000002,clear,0.24,guess,0,0.11000000000000004,cs,0.45
11,10,clear,0,1695,4,ball,0.24100000000000055,clear,0.24,guess,0,0.12000000000000005,cs,0.44
28,9,clear,0,1418,3,ball,0.24100000000000055,clear,0.24,guess,0,0.12000000000000005,cs,0.44
9,14,clear,0,1744,4,ball,0.24100000000000055,clear,0.24,guess,0,0.13000000000000006,cs,0.43
13,5,clear,1,1282,3,juice,0.24299999999999944,clear,0.24,guess,0,0.12000000000000005,cs,0.44
21,14,clear,1,1701,4,juice,0.24299999999999944,clear,0.24,guess,0,0.12000000000000005,cs,0.44
20,8,clear,1,2088,5,shoe,0.2679999999999998,clear,0.27,guess,0,0.11000000000000004,cs,0.45
6,2,clear,0,1669,4,chicken,0.2679999999999998,clear,0.27,guess,0,0.12000000000000005,cs,0.44
21,5,clear,1,1701,4,juice,0.26900000000000013,clear,0.27,guess,0,0.11000000000000004,cs,0.45
28,8,clear,0,1418,3,bunny,0.2699999999999996,clear,0.27,guess,0,0.11000000000000004,cs,0.45
42,27,clear,1,1151,3,bunny,0.2699999999999996,clear,0.27,guess,0,0.11000000000000004,cs,0.45
10,28,clear,0,1414,3,chicken,0.2709999999999999,clear,0.27,guess,0,0.11000000000000004,cs,0.45
2,23,clear,0,1810,4,ball,0.2709999999999999,clear,0.27,guess,0,0.12000000000000005,cs,0.44
27,23,clear,0,1356,3,ball,0.2709999999999999,clear,0.27,guess,0,0.12000000000000005,cs,0.44
24,6,clear,0,1288,3,bottle,0.27200000000000024,clear,0.27,guess,0,0.13999999999999996,cs,0.43
42,17,clear,0,1151,3,cookie,0.27200000000000024,clear,0.27,guess,0,0.13999999999999996,cs,0.43
33,3,clear,1,1870,5,boat,0.2729999999999997,clear,0.27,guess,0,0.13999999999999996,cs,0.43
35,20,clear,0,1833,5,boat,0.2729999999999997,clear,0.27,guess,0,0.13999999999999996,cs,0.43
43,21,clear,0,1413,3,boat,0.2729999999999997,clear,0.27,guess,0,0.13999999999999996,cs,0.43
45,8,clear,1,1957,5,juice,0.27500000000000036,clear,0.28,guess,0,0.13999999999999996,cs,0.43
33,5,clear,0,1870,5,cookie,0.2759999999999998,clear,0.28,guess,0,0.13999999999999996,cs,0.43
8,29,clear,1,1367,3,juice,0.2759999999999998,clear,0.28,guess,0,0.13999999999999996,cs,0.43
13,12,clear,1,1282,3,bottle,0.2999999999999998,clear,0.3,guess,0,0.12999999999999995,cs,0.44
34,20,clear,0,1289,3,bottle,0.2999999999999998,clear,0.3,guess,0,0.13999999999999996,cs,0.43
46,16,clear,0,1836,5,bottle,0.2999999999999998,clear,0.3,guess,0,0.13999999999999996,cs,0.43
33,4,clear,0,1870,5,ball,0.30100000000000016,clear,0.3,guess,0,0.13999999999999996,cs,0.43
49,17,clear,1,1626,4,chicken,0.30100000000000016,clear,0.3,guess,0,0.13999999999999996,cs,0.43
1,20,clear,0,1770,4,shoe,0.3019999999999996,clear,0.3,guess,0,0.13999999999999996,cs,0.43
