subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_03,96,text-no-audio,10/20/16,m,18-21,great,1,include,NA,center,sentence,2.37,C_T,correct
10_20_04,1,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,distracter,center.fixation,0.2669999999999999,D_C,incorrect
10_20_04,1,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,1.1929999999999996,C_T,correct
10_20_04,1,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,1.3369999999999997,C_T,correct
10_20_04,2,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0330000000000004,C_T,correct
10_20_04,2,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.4930000000000003,C_T,correct
10_20_04,2,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.7030000000000003,C_T,correct
10_20_04,3,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.4000000000000004,C_T,correct
10_20_04,3,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.8900000000000006,C_T,correct
10_20_04,3,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.9000000000000004,C_T,correct
10_20_04,4,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0,C_T,correct
10_20_04,4,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.8199999999999998,C_T,correct
10_20_04,4,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.73,C_T,correct
10_20_04,5,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,5,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5630000000000002,C_T,correct
10_20_04,5,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.6630000000000003,C_T,correct
10_20_04,6,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.8,C_T,correct
10_20_04,6,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5299999999999998,C_T,correct
10_20_04,6,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.2699999999999996,C_T,correct
10_20_04,7,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.967,C_T,correct
10_20_04,7,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.4570000000000003,C_T,correct
10_20_04,7,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.467,C_T,correct
10_20_04,8,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.8,C_T,correct
10_20_04,8,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5299999999999998,C_T,correct
10_20_04,8,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.63,C_T,correct
10_20_04,9,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.967,C_T,correct
10_20_04,9,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.7869999999999999,C_T,correct
10_20_04,9,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.697,C_T,correct
10_20_04,10,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.4000000000000004,C_T,correct
10_20_04,10,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.8900000000000006,C_T,correct
10_20_04,10,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.9000000000000004,C_T,correct
10_20_04,11,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.2,C_T,correct
10_20_04,11,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.9300000000000002,C_T,correct
10_20_04,11,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.67,C_T,correct
10_20_04,12,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.2329999999999997,C_T,correct
10_20_04,12,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6929999999999996,C_T,correct
10_20_04,12,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.9029999999999996,C_T,correct
10_20_04,13,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.9,C_T,correct
10_20_04,13,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6299999999999999,C_T,correct
10_20_04,13,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.73,C_T,correct
10_20_04,14,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0330000000000004,C_T,correct
10_20_04,14,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5230000000000006,C_T,correct
10_20_04,14,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.5330000000000004,C_T,correct
10_20_04,15,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.567,C_T,correct
10_20_04,15,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.387,C_T,correct
10_20_04,15,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.297,C_T,correct
10_20_04,16,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.8,C_T,correct
10_20_04,16,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.71,C_T,correct
10_20_04,16,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.67,C_T,correct
10_20_04,17,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,17,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5630000000000002,C_T,correct
10_20_04,17,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.303,C_T,correct
10_20_04,18,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,18,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.7430000000000003,C_T,correct
10_20_04,18,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.7030000000000003,C_T,correct
10_20_04,19,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.933,C_T,correct
10_20_04,19,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6629999999999998,C_T,correct
10_20_04,19,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.763,C_T,correct
10_20_04,20,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,20,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5630000000000002,C_T,correct
10_20_04,20,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.303,C_T,correct
10_20_04,21,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,21,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.653,C_T,correct
10_20_04,21,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.563,C_T,correct
10_20_04,22,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,1.9329999999999998,C_D,incorrect
10_20_04,22,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,distracter,noun,0.17700000000000005,D_C,incorrect
10_20_04,22,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,1.803,C_D,incorrect
10_20_04,23,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.833,C_T,correct
10_20_04,23,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.7430000000000003,C_T,correct
10_20_04,23,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.7030000000000003,C_T,correct
10_20_04,24,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.133,C_T,correct
10_20_04,24,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.593,C_T,correct
10_20_04,24,face,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.803,C_T,correct
10_20_04,25,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0999999999999996,C_T,correct
10_20_04,25,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.8299999999999996,C_T,correct
10_20_04,25,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.5699999999999994,C_T,correct
10_20_04,26,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.367,C_T,correct
10_20_04,26,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.8570000000000002,C_T,correct
10_20_04,26,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.867,C_T,correct
10_20_04,27,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.0999999999999996,C_T,correct
10_20_04,27,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.5599999999999996,C_T,correct
10_20_04,27,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.7699999999999996,C_T,correct
10_20_04,28,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.733,C_T,correct
10_20_04,28,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6430000000000002,C_T,correct
10_20_04,28,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.603,C_T,correct
10_20_04,29,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.7,C_T,correct
10_20_04,29,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.43000000000000016,C_T,correct
10_20_04,29,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.5300000000000002,C_T,correct
10_20_04,30,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,3.2,C_T,correct
10_20_04,30,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,noun,0.6600000000000001,C_T,correct
10_20_04,30,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,sentence,2.87,C_T,correct
10_20_04,31,text,10/20/16,f,18-21,"calibrated twice, session was great",1,include,NA,center,center.fixation,2.733,C_D,incorrect
