subid,tr.num,condition,dot,gender,age,notes,order,keep,reason_excluded,response,response_onset_type,rt,shift_type,shift_accuracy
10_20_01,15,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.7970000000000002,C_T,correct
10_20_01,15,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.29700000000000015,T_C,incorrect
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.567,T_C,incorrect
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.5869999999999997,C_T,correct
10_20_01,16,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.29699999999999993,T_C,incorrect
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.2330000000000001,C_T,correct
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.8600000000000003,C_T,correct
10_20_01,17,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,sentence,0.43699999999999983,T_D,incorrect
10_20_01,18,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.2330000000000001,D_C,incorrect
10_20_01,18,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.863,C_T,correct
10_20_01,18,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,sentence,1.3030000000000002,D_T,incorrect
10_20_01,19,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.33299999999999996,D_C,incorrect
10_20_01,19,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.42300000000000004,C_T,correct
10_20_01,19,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.433,C_T,correct
10_20_01,20,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,0.3999999999999999,C_T,correct
10_20_01,20,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.7970000000000002,C_T,correct
10_20_01,20,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.537,C_T,correct
10_20_01,21,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,distracter,center.fixation,0.2330000000000001,D_C,incorrect
10_20_01,21,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.45999999999999996,C_T,correct
10_20_01,21,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.67,C_T,correct
10_20_01,22,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,3.0,C_T,correct
10_20_01,22,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.8199999999999998,C_T,correct
10_20_01,22,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.73,C_T,correct
10_20_01,23,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,target,center.fixation,0.06699999999999995,T_C,incorrect
10_20_01,23,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.5270000000000001,C_T,correct
10_20_01,23,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.737,C_T,correct
10_20_01,24,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,3.0999999999999996,C_T,correct
10_20_01,24,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.5599999999999996,C_T,correct
10_20_01,24,face,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.7699999999999996,C_T,correct
10_20_01,25,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.7,C_T,correct
10_20_01,25,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.52,C_T,correct
10_20_01,25,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.43,C_T,correct
10_20_01,26,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,3.2670000000000003,C_T,correct
10_20_01,26,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.7270000000000003,C_T,correct
10_20_01,26,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,sentence,2.9370000000000003,C_T,correct
10_20_01,27,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,center.fixation,2.867,C_T,correct
10_20_01,27,text,10/20/16,m,18-21,wore glasses and it looked like the gaze tracker might have had some trouble because it was bouncing around a lot,1,include,NA,center,noun,0.6869999999999998,C_T,correct
